Aiad
World: ;Aiad
level;runs;collectibles average;collectibles available;time average;time limit;score average
3;20;0;1;5,5;55;0
Aiad
World: ;Aiad
level;runs;collectibles average;collectibles available;time average;time limit;score average

Aiad
World: ;Aiad
level;runs;collectibles average;collectibles available;time average;time limit;score average
3;20;0;1;3,2;9;0
